STAID,STANAME,DRAIN_SQKM,LAT_GAGE,LNG_GAGE,COMID,COMID_DRAIN_SQKM,COMID_UNITAREA_SQKM,ABS_DIFF,DA_VALID,FLOW_SCALE,REL_DIFF,COV_TRAIN,COV_EVAL
01336000,MOHAWK RIVER BELOW DELTA DAM NEAR ROME NY,386.4249,43.264514,-75.436286,73002079,393.94204336658447,76.09421035456951,7.517143366584492,True,0.901212676607622,0.019453051204993497,1.0,1.0
01350000,SCHOHARIE CREEK AT PRATTSVILLE NY,612.5148,42.319528,-74.436537,73003490,630.0599214426944,45.51559423149615,17.54512144269438,True,0.6145250492950083,0.028644404090634838,1.0,1.0
01350180,SCHOHARIE CREEK AT NORTH BLENHEIM NY,928.5067,42.465911,-74.462091,73003419,949.0757163319612,31.9057729307873,20.56901633196105,True,0.3553199172895419,0.022152792577545266,1.0,0.9749954371235627
01350355,SCHOHARIE CREEK AT BREAKABEEN NY,1153.139,42.537021,-74.41042,73001724,1150.9334082122357,4.049870832951208,2.2055917877644333,True,1.0,0.0019126851036730468,1.0,1.0
01357500,MOHAWK RIVER AT COHOES NY,9113.444,42.785356,-73.707619,73001663,8964.343279983326,72.24138219201198,149.10072001667322,True,1.0,0.016360524080322788,1.0,1.0
01358000,HUDSON RIVER AT GREEN ISLAND NY,20981.08,42.7523,-73.689007,73001658,20890.852818892683,27.717639333220344,90.22718110731876,True,1.0,0.004300406895513422,1.0,0.8247855448074466
01362500,ESOPUS CREEK AT COLDBROOK NY,493.1622,42.014259,-74.270703,73003531,528.378324641831,37.380589974979145,35.216124641831016,True,0.0579034556329079,0.07140880757250052,1.0,1.0
01367500,RONDOUT CREEK AT ROSENDALE NY,940.1213,41.843148,-74.085976,73003381,1007.964377191336,18.75457173459765,67.84307719133608,True,1.0,0.07216417412448381,1.0,1.0
01371500,WALLKILL RIVER AT GARDINER NY,1866.345,41.686205,-74.165146,73003348,1848.0869029698488,22.660560819149342,18.258097030151475,True,1.0,0.00978280919666593,1.0,1.0
01375000,CROTON R @ NEW CROTON DAM NR CROTON-ON-HUDSON NY,980.0289,41.225094,-73.859303,73003424,1033.651716557349,48.10762663486668,53.62281655734887,True,1.0,0.054715546202105746,1.0,1.0
01379000,PASSAIC RIVER NEAR MILLINGTON NJ,140.4292,40.68,-74.528889,73005692,148.40437034119782,30.2536368519754,7.97517034119781,True,0.7363896981966624,0.05679139624236134,1.0,1.0
01379500,PASSAIC RIVER NEAR CHATHAM NJ,256.0499,40.726111,-74.389722,73005602,266.9959092644858,64.39264530308333,10.946009264485838,True,0.8300114987827389,0.04274951587360838,1.0,1.0
01381900,PASSAIC RIVER AT PINE BROOK NJ,907.8039,40.8625,-74.321389,73005214,935.7555212524046,32.229659107271445,27.951621252404607,True,0.1327360565815496,0.030790373617479067,1.0,1.0
01387400,RAMAPO RIVER AT RAMAPO NY,231.6789,41.140373,-74.168479,73003669,241.0632964868519,37.98154178808637,9.384396486851898,True,0.7529221815372568,0.04050604732175394,1.0,1.0
01387420,RAMAPO RIVER AT SUFFERN NY,247.6512,41.118429,-74.160145,73003669,241.0632964868519,37.98154178808637,6.587903513148092,True,1.0,0.02660154084917857,1.0,1.0
01388000,RAMAPO RIVER AT POMPTON LAKES NJ,420.579,40.991972,-74.279861,73005255,410.487011651595,102.87364098676588,10.091988348404982,True,1.0,0.023995464225282245,1.0,1.0
01388500,POMPTON RIVER AT POMPTON PLAINS NJ,923.0895,40.969167,-74.281944,73005192,957.3203663060632,16.31674612035605,34.23086630606315,True,1.0,0.03708293324326964,1.0,1.0
01396500,SOUTH BRANCH RARITAN RIVER NEAR HIGH BRIDGE NJ,162.5247,40.677778,-74.879167,73005792,171.72633293307155,104.77753278881328,9.20163293307155,True,0.9121793318838868,0.056616827676479645,1.0,1.0
